time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
520,0,0,0,3,1
539.718,0,0,0,4,0
539.72,0,0,0,3,1
539.72,0,0,0,1,3
616.082,0,0,0,2,2
616.084,0,0,0,1,3
621.698,0,0,0,2,2
621.7,0,0,0,1,3
640.199,0,0,0,2,2
851.307,0,0,0,4,0
851.309,0,0,0,2,2
1314.71,0,0,0,4,0
1314.71,0,0,0,3,1
1327.75,0,0,0,4,0
1360,0,0,0,1,3
1933.17,0,0,0,4,0
1933.17,0,0,0,2,2
1933.17,0,0,0,1,3
1936.96,0,0,0,2,2
1936.96,0,0,0,0,4
2737.01,0,0,0,2,2
2737.01,0,0,0,1,3
2737.01,0,0,0,0,4
2740.62,0,0,0,1,3
2753.61,0,0,0,2,2
2753.61,0,0,0,1,3
2772.44,0,0,0,2,2
2772.44,0,0,0,1,3
2780.9,0,0,0,2,2
2780.9,0,0,0,1,3
2797.47,0,0,0,2,2
2797.47,0,0,0,1,3
2808.32,0,0,0,2,2
2862.35,0,0,0,4,0
2862.35,0,0,0,3,1
2873.79,0,0,0,4,0
2873.8,0,0,0,3,1
2874.44,0,0,0,4,0
2874.44,0,0,0,3,1
2878.29,0,0,0,4,0
2878.29,0,0,0,3,1
2886.58,0,0,0,4,0
4360,0,0,0,3,1
4371.76,0,0,0,4,0
4371.76,0,0,0,3,1
4371.76,0,0,0,2,2
4375.37,0,0,0,3,1
4375.37,0,0,0,2,2
4377.25,0,0,0,3,1
4377.25,0,0,0,2,2
4377.56,0,0,0,3,1
4391.28,0,0,0,4,0
4391.28,0,0,0,3,1
4419.76,0,0,0,4,0
4419.76,0,0,0,3,1
4420.41,0,0,0,4,0
5080,0,0,0,3,1
5083.25,0,0,0,4,0
5083.25,0,0,0,3,1
5083.25,0,0,0,2,2
5087.52,0,0,0,3,1
5087.52,0,0,0,2,2
5097.07,0,0,0,3,1
5120,0,0,0,2,2
5122.41,0,0,0,3,1
5163.94,0,0,0,4,0
5163.95,0,0,0,1,3
5163.95,0,0,0,0,4
5180.39,0,0,0,1,3
5180.4,0,0,0,0,4
5192.01,0,0,0,1,3
5192.01,0,0,0,0,4
5192.69,0,0,0,1,3
5192.69,0,0,0,0,4
5201.15,0,0,0,1,3
5201.15,0,0,0,0,4
5385.62,0,0,0,1,3
5385.62,0,0,0,0,4
5393.49,0,0,0,1,3
5622.45,0,0,0,4,0
5622.45,0,0,0,3,1
5632.98,0,0,0,4,0
5632.98,0,0,0,3,1
5645.29,0,0,0,4,0
5800,0,0,0,1,3
6523.53,0,0,0,4,0
6523.53,0,0,0,3,1
6523.53,0,0,0,2,2
6537.36,0,0,0,3,1
6537.36,0,0,0,1,3
6543.25,0,0,0,2,2
7033.05,0,0,0,4,0
7033.05,0,0,0,3,1
7046.22,0,0,0,4,0
7046.22,0,0,0,3,1
7046.57,0,0,0,4,0
7046.57,0,0,0,3,1
7064.33,0,0,0,4,0
7160,0,0,0,3,1
7163.07,0,0,0,4,0
7163.08,0,0,0,3,1
7163.08,0,0,0,2,2
7168.93,0,0,0,3,1
7480,0,0,0,2,2
7528.4,0,0,0,3,1
7528.4,0,0,0,2,2
7528.4,0,0,0,0,4
7534.27,0,0,0,1,3
7534.27,0,0,0,0,4
7729.89,0,0,0,1,3
7760,0,0,0,0,4
7770.85,0,0,0,1,3
7989.9,0,0,0,3,1
7989.9,0,0,0,1,3
7989.9,0,0,0,0,4
8005.69,0,0,0,1,3
8005.69,0,0,0,0,4
8018.15,0,0,0,1,3
8018.16,0,0,0,0,4
8024.68,0,0,0,1,3
8024.68,0,0,0,0,4
8025.7,0,0,0,1,3
8025.7,0,0,0,0,4
8044.53,0,0,0,1,3
8044.53,0,0,0,0,4
8049.05,0,0,0,1,3
8049.05,0,0,0,0,4
8060.37,0,0,0,1,3
8060.37,0,0,0,0,4
8066.25,0,0,0,1,3
8066.25,0,0,0,0,4
8066.56,0,0,0,1,3
8066.56,0,0,0,0,4
8070.17,0,0,0,1,3
8200,0,0,0,0,4
8208.29,0,0,0,1,3
8208.53,0,0,0,3,1
8208.53,0,0,0,0,4
8468.81,0,0,0,1,3
8468.81,0,0,0,0,4
8803.84,0,0,0,3,1
8803.84,0,0,0,2,2
8803.84,0,0,0,1,3
8803.84,0,0,0,0,4
8804.32,0,0,0,1,3
8804.32,0,0,0,0,4
8805.09,0,0,0,1,3
8805.09,0,0,0,0,4
8813.46,0,0,0,1,3
8813.46,0,0,0,0,4
8814.39,0,0,0,1,3
8814.39,0,0,0,0,4
8820.63,0,0,0,1,3
8820.63,0,0,0,0,4
8821.11,0,0,0,1,3
8821.11,0,0,0,0,4
8821.83,0,0,0,1,3
8821.83,0,0,0,0,4
8823.68,0,0,0,1,3
8823.68,0,0,0,0,4
8826.93,0,0,0,1,3
8826.93,0,0,0,0,4
8834.11,0,0,0,1,3
8834.11,0,0,0,0,4
8836.49,0,0,0,1,3
8836.49,0,0,0,0,4
8840.33,0,0,0,1,3
8840.34,0,0,0,0,4
8848.62,0,0,0,1,3
8848.63,0,0,0,0,4
8850.69,0,0,0,1,3
8850.69,0,0,0,0,4
8856.55,0,0,0,1,3
8856.55,0,0,0,0,4
8861.63,0,0,0,1,3
8864.92,0,0,0,2,2
8866.48,0,0,0,3,1
8866.48,0,0,0,1,3
8866.48,0,0,0,0,4
8874.4,0,0,0,1,3
8874.41,0,0,0,0,4
8877.98,0,0,0,1,3
8877.98,0,0,0,0,4
8886.53,0,0,0,1,3
8886.53,0,0,0,0,4
8888.57,0,0,0,1,3
8888.58,0,0,0,0,4
8897.44,0,0,0,1,3
8897.44,0,0,0,0,4
8909.98,0,0,0,1,3
8909.98,0,0,0,0,4
8915.3,0,0,0,1,3
8915.3,0,0,0,0,4
8991.45,0,0,0,1,3
8991.45,0,0,0,0,4
9067.81,0,0,0,1,3
9067.81,0,0,0,0,4
9136.67,0,0,0,1,3
9136.68,0,0,0,0,4
9154.4,0,0,0,1,3
9176.77,0,0,0,2,2
9240,0,0,0,1,3
9240,0,0,0,0,4
9305.11,0,0,0,1,3
9357.24,0,0,0,2,2
9670.32,0,0,0,4,0
9670.32,0,0,0,1,3
9670.32,0,0,0,0,4
9681.76,0,0,0,1,3
9681.77,0,0,0,0,4
9692.7,0,0,0,1,3
